"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"149","A","937/673","5",2,0,937.523,673.811,349.477,"KN","1","","EM",2,4,22,106,"",NA,38,23,3,"turtle","2015-05-21","08:58:52","UA3c","",22,106,1.65217391304348
"172","A","937/673","5",17,0,937.97,673.671,349.289,"HZ","3","","EM",1,16,0,106,"",NA,140,10,1,"","2015-05-25","10:55:49","UA3c","",0,106,14
"177","A","937/673","5",8,0,937.183,673.577,349.403,"HZ","2","","EM",1,17,0,136,"",NA,120,15,13,"","2015-05-21","12:58:42","UA3c","",0,136,8
"179","A","937/673","5",9,0,937.904,673.322,349.407,"HZ","2","","EM",1,16,0,106,"",NA,200,10,1,"","2015-05-21","14:14:33","UA3c","",0,106,20
"181","A","937/673","5",10,0,937.902,673.309,349.413,"HZ","2","","EM",2,11,22,316,"",NA,100,12,8,"","2015-05-21","14:16:12","UA3c","",22,316,8.33333333333333
"183","A","937/673","5",11,0,937.112,673.922,349.369,"HZ","2","","EM",4,9,67,256,"",NA,145,40,25,"","2015-05-22","09:43:25","UA3c","",67,256,3.625
"187","A","937/673","5",12,0,937.973,673.778,349.426,"KN","2","","EM",2,4,22,106,"",NA,80,45,18,"skull fragment might fit to ID 38 of 938/675","2015-05-22","11:16:38","UA3c","",22,106,1.77777777777778
"1760","A","937/674","5",2,0,937.642,674.636,349.538,"KN","1","","LS",3,5,45,136,"",NA,39,17,8,"quad B","2015-05-14","12:47:15","UA3c","",45,136,2.29411764705882
"1769","A","937/674","5",4,0,937.667,674.04,349.454,"KN","1","","EO",1,15,0,76,"",NA,20,10,3,"mandibula with tooth, MF","2015-05-18","11:00:16","UA3c","",0,76,2
"1782","A","937/674","5",7,0,937.505,674.303,349.378,"ZN","2","","EO",3,11,45,316,"",NA,76,23,NA,"","2015-05-27","09:29:15","UA3c","",45,316,3.30434782608696
"1784","A","937/674","5",8,0,937.852,674.463,349.365,"LI","2","","EO",1,15,0,76,"",NA,30,15,7,"plot","2015-05-27","11:08:18","UA3c","",0,76,2
"1862","A","937/675","5",6,0,937.591,675.286,349.386,"HZ","1","","EO",1,18,0,346,"",NA,140,74,12,"eventually fit to ID 5","2015-05-21","10:43:51","UA3c","",0,346,1.89189189189189
"2955","A","938/673","5",12,0,938.216,673.575,349.237,"ZN","5","","GK",3,8,45,226,"",NA,70,30,2,"ivory","2015-05-21","11:11:55","UA3c","",45,226,2.33333333333333
"5278","A","938/674","5",25,0,938.865,674.329,349.439,"KN","6","","LS",3,4,45,106,"",NA,60,3,NA,"bird bone","2015-05-14","12:42:09","UA3c","",45,106,20
"5295","A","938/674","5",18,0,938.789,674.439,349.688,"ZN","3","","EO",3,9,45,256,"85",75,32,1,3,"ivory, lying on its side","2015-05-12","09:40:16","UA3c","",45,256,32
"6480","A","938/675","5",21,0,938.76,675.253,349.505,"KN","5","","PT",3,2,45,46,"50 NE",224,61,28,18,"","2015-05-15","11:38:48","UA3c","",45,46,2.17857142857143
"6787","A","938/676","5",21,0,938.214,676.613,349.427,"KN","6","","IS",2,2,22,46,"",NA,80,4,NA,"bird bone","2015-05-29","09:27:49","UA3c","",22,46,20
"7012","A","938/677","5",7,0,938.392,677.968,349.445,"KN","2","","TT, PT",2,1,22,16,"",NA,140,15,NA,"bird bone?","2016-04-14","09:07:49","UA3c","",22,16,9.33333333333333
"9148","A","939/674","5",67,0,939.059,674.103,349.525,"KN","","","EO",3,6,45,166,"45",190,27,4,3,"bird bone, profile correction west","2015-05-11","11:43:37","UA3c","",45,166,6.75
"10316","A","939/675","5",17,0,939.597,675.477,349.772,"HZ","1","","PT, LS",2,4,22,106,"",NA,170,45,NA,"","2014-10-14","08:35:41","UA3c","",22,106,3.77777777777778
"10354","A","939/675","5",31,0,939.162,675.968,349.598,"KN","4","","PT",2,9,22,256,"",NA,28,3,3,"bird bone","2015-05-12","11:30:33","UA3c","",22,256,9.33333333333333
"10393","A","939/675","5",42,0,939.88,675.582,349.36,"ZN","6","","KH",6,16,90,106,"70 NE",190,50,3,NA,"ivory","2015-05-19","12:12:48","UA3c","",90,106,16.6666666666667
"10398","A","939/675","5",43,0,939.619,675.833,349.387,"HZ","6","","KH",2,7,22,196,"16 SW",5,155,15,NA,"","2015-05-19","12:37:34","UA3c","",22,196,10.3333333333333
"10400","A","939/675","5",44,0,939.995,675.258,349.327,"HZ","6","","LS",1,14,0,46,"",NA,110,10,NA,"","2015-05-19","13:55:00","UA3c","",0,46,11
"10401","A","939/675","5",40,0,939.022,675.141,349.5,"KN","6","","PT",1,16,0,106,"",NA,60,5,NA,"","2015-05-19","10:38:58","UA3c","",0,106,12
"10864","A","939/676","5",42,0,939.208,676.268,349.315,"HZ","6","","GT",1,14,0,46,"",NA,114,60,27,"","2015-05-27","11:09:56","UA3c","",0,46,1.9
"11571","A","939/677","5",7,0,939.077,677.478,349.435,"HZ","2","","KH",2,6,22,166,"",NA,120,25,4,"","2016-03-30","14:56:20","UA3c","",22,166,4.8
"11584","A","939/677","5",11,0,939.917,677.514,349.384,"HZ","3","","KH",3,10,45,286,"",NA,850,40,25,"","2016-04-01","09:04:57","UA3c","",45,286,21.25
"11586","A","939/677","5",12,0,939.652,677.319,349.392,"HZ","3","","KH",1,15,0,76,"",NA,250,70,5,"","2016-04-01","09:07:09","UA3c","",0,76,3.57142857142857
"11596","A","939/677","5",2,0,939.92,677.597,349.495,"KN","1","","KH",2,9,22,256,"",NA,50,20,10,"bird bone","2016-03-30","09:53:55","UA3c","",22,256,2.5
"11598","A","939/677","5",3,0,939.706,677.69,349.492,"KN","1","","KH",3,4,45,106,"",NA,35,20,NA,"fish bone","2016-03-30","09:55:28","UA3c","",45,106,1.75
"11600","A","939/677","5",4,0,939.427,677.522,349.493,"HZ","1","","KH",1,10,0,286,"",NA,60,35,20,"","2016-03-30","10:30:23","UA3c","",0,286,1.71428571428571
"11611","A","939/677","5",17,0,939.125,677.46,349.321,"HZ","3","","KH",2,1,22,16,"",NA,180,20,NA,"","2016-04-02","09:38:16","UA3c","",22,16,9
"11613","A","939/677","5",18,0,939.102,677.608,349.323,"HZ","3","","KH",1,14,0,46,"",NA,240,20,NA,"","2016-04-02","09:40:17","UA3c","",0,46,12
"11615","A","939/677","5",19,0,939.06,677.781,349.342,"HZ","3","","KH",2,8,22,226,"",NA,130,35,NA,"","2016-04-02","09:42:24","UA3c","",22,226,3.71428571428571
"12180","A","940/673","5",16,0,940.369,673.408,349.635,"HZ","2","","KH",1,16,0,106,"",NA,145,3,1,"","2015-05-12","12:18:36","UA3c","",0,106,48.3333333333333
"12204","A","940/673","5",27,0,940.174,673.055,349.393,"KN","5","","VT",1,18,0,346,"",NA,27,10,4,"","2015-05-20","12:46:39","UA3c","",0,346,2.7
"12210","A","940/673","5",32,0,940.409,673.834,349.189,"HZ","6","","KH",1,14,0,46,"",NA,510,80,NA,"","2015-05-25","15:07:30","UA3c","",0,46,6.375
"12211","A","940/673","5",31,0,940.068,673.142,349.266,"HZ","6","","KH",2,10,22,286,"",NA,320,45,NA,"","2015-05-25","12:19:16","UA3c","",22,286,7.11111111111111
"15426","A","940/677","5",4,0,940.393,677.154,349.485,"KN","1","","TT",2,4,22,106,"",NA,57,17,NA,"","2016-03-22","14:03:09","UA3c","",22,106,3.35294117647059
"15437","A","940/677","5",7,0,940.467,677.139,349.451,"KN","2","","TT",4,6,67,166,"",NA,50,18,4,"broken","2016-03-23","13:58:34","UA3c","",67,166,2.77777777777778
"16861","A","940/678","5",1,0,940.499,678.79,349.51,"KN","","","VT",4,9,67,256,"65 NW",290,70,20,20,"antler","2015-05-11","11:14:58","UA3c","",67,256,3.5
"20555","A","941/675","5",28,0,941.371,675.542,349.458,"HZ","1","","KH",2,10,22,286,"",NA,110,60,NA,"","2014-10-14","12:23:57","UA3c","",22,286,1.83333333333333
"20557","A","941/675","5",29,0,941.35,675.642,349.45,"HZ","1","","KH",1,15,0,76,"",NA,165,60,NA,"","2014-10-14","12:48:49","UA3c","",0,76,2.75
"22796","A","941/676","5",54,0,941.991,676.529,349.333,"KN","2","","IS",1,15,0,76,"5 NW",300,80,22,10,"","2015-05-18","10:20:58","UA3c","",0,76,3.63636363636364
"23949","A","941/677","5",37,0,941.102,677.376,349.569,"HZ","1","","TP",1,16,0,106,"",NA,200,20,5,"","2015-05-13","09:49:59","UA3c","",0,106,10
"23984","A","941/677","5",46,0,941.646,677.212,349.282,"HZ","4","","IS",1,14,0,46,"",NA,250,30,3,"","2015-05-20","09:25:37","UA3c","",0,46,8.33333333333333
"23987","A","941/677","5",47,0,941.674,677.265,349.276,"HZ","4","","IS",1,14,0,46,"",NA,170,20,3,"","2015-05-20","09:28:35","UA3c","",0,46,8.5
"26717","A","942/676","5",28,0,942.104,676.705,349.342,"ZN","3","","AA",1,13,0,16,"",NA,55,30,3,"ivory","2016-03-30","11:35:27","UA3c","",0,16,1.83333333333333
